"","...1","Division","Season","Spectators","Date","Home","Away","HG","AG","HS","AS","HST","AST","HF","AF","HY","AY","HR","AR","AvgH","AvgD","AvgA","Avg.2.5","Avg.2.5.1","HP","AP","ProbH","ProbD","ProbA","HEP","AEP","goalsDiff","pointsDiff","expPointsDiff","shotsDiff","shotsTargetDiff","foulsDiff","yellowDiff","redDiff","Season_c"
"38",38,"D1",10,"Yes","21.09.2019","Bayern Munich","FC Koln",4,0,24,16,5,2,15,20,4,0,0,1,1.12,9.25,21.04,1.25,3.83,3,0,0.851561706938858,0.103108012083408,0.0453302809777339,2.65779313289998,0.239098855016609,4,3,2.41869427788337,8,3,-5,4,-1,0
"39",39,"D1",10,"Yes","21.09.2019","Freiburg","Augsburg",1,1,17,12,5,2,13,13,1,1,0,0,1.9,3.77,3.92,1.67,2.21,1,1,0.502847965593037,0.253424704145032,0.243727330261931,1.76196860092414,0.984606694930826,0,0,0.777361905993317,5,3,0,0,0,0
"40",40,"D1",10,"Yes","21.09.2019","Hertha","Paderborn",2,1,6,17,4,8,13,15,4,4,0,0,1.73,4.02,4.54,1.48,2.64,3,0,0.552057496158453,0.237576982177643,0.210365521663904,1.893749470653,0.868673547169355,1,3,1.02507592348365,-11,-4,-2,0,0,0
"41",41,"D1",10,"Yes","21.09.2019","Leverkusen","Union Berlin",2,0,20,4,7,0,10,10,0,1,0,1,1.36,5.31,7.82,1.44,2.74,3,0,0.699284282851417,0.17910105926138,0.121614657887203,2.27695390781563,0.543945032922989,2,3,1.73300887489264,16,7,0,-1,-1,0
"42",42,"D1",10,"Yes","21.09.2019","Werder Bremen","RB Leipzig",0,3,11,14,1,7,11,13,0,3,0,1,4.19,4.25,1.75,1.46,2.69,0,3,0.228301741999847,0.225078658583378,0.546619599416775,0.909983884582918,1.8649374568337,-3,-3,-0.954953572250786,-3,-6,-2,-3,-1,0
"43",43,"D1",10,"Yes","22.09.2019","M'gladbach","Fortuna Dusseldorf",2,1,23,18,11,4,14,11,2,3,0,0,1.69,4.09,4.77,1.54,2.46,3,0,0.565770661810125,0.233778097422766,0.200451240767109,1.93109008285314,0.835131819724094,1,3,1.09595826312905,5,7,3,-1,0,0
"44",44,"D1",10,"Yes","22.09.2019","Ein Frankfurt","Dortmund",2,2,17,15,3,7,18,10,2,2,0,0,4.29,4.22,1.74,1.46,2.7,1,1,0.223109458178371,0.22681032596806,0.55008021585357,0.896138700503172,1.87705097352877,0,0,-0.980912273025596,2,-4,8,0,0,0
"45",45,"D1",10,"Yes","23.09.2019","Wolfsburg","Hoffenheim",1,1,12,11,4,5,11,18,2,4,0,0,1.95,3.81,3.7,1.53,2.48,1,1,0.490475444914149,0.251030739522989,0.258493815562862,1.72245707426544,1.02651218621158,0,0,0.69594488805386,1,-1,-7,-2,0,0
"46",46,"D1",10,"Yes","27.09.2019","Union Berlin","Ein Frankfurt",1,2,12,14,5,6,11,12,1,1,0,0,2.99,3.64,2.3,1.58,2.39,0,3,0.320366132723112,0.263157894736842,0.416475972540046,1.22425629290618,1.51258581235698,-1,-3,-0.288329519450801,-2,-1,-1,0,0,0
"47",47,"D1",10,"Yes","28.09.2019","Augsburg","Leverkusen",0,3,8,11,1,5,16,9,4,0,0,0,4.71,4.52,1.63,1.39,2.99,0,3,0.202773702940213,0.211297376293895,0.585928920765892,0.819618485114534,1.96908413859157,-3,-3,-1.14946565347704,-3,-4,7,4,0,0
"48",48,"D1",10,"Yes","28.09.2019","Hoffenheim","M'gladbach",0,3,17,11,4,5,10,11,2,2,0,0,2.43,3.61,2.79,1.58,2.38,0,3,0.393066629201644,0.264585016332408,0.342348354465948,1.44378490393734,1.29163007973025,-3,-3,0.152154824207088,6,-1,-1,0,0,0
"49",49,"D1",10,"Yes","28.09.2019","Mainz","Wolfsburg",0,1,15,4,5,3,9,15,2,3,0,0,2.89,3.52,2.4,1.73,2.1,0,3,0.330557816315032,0.271395479872284,0.398046703812684,1.26306892881738,1.46553559131034,-1,-3,-0.202466662492957,11,2,-6,-1,0,0
"50",50,"D1",10,"Yes","28.09.2019","Paderborn","Bayern Munich",2,3,10,18,5,6,7,6,1,1,0,0,15.89,9.07,1.14,1.19,4.65,0,3,0.0599142294411702,0.104965502295501,0.835120268263329,0.284708190619012,2.61032630708549,-1,-3,-2.32561811646648,-8,-1,1,0,0,0
"51",51,"D1",10,"Yes","28.09.2019","RB Leipzig","Schalke 04",1,3,17,13,6,8,13,11,1,1,0,0,1.56,4.41,5.57,1.5,2.56,0,3,0.612065034572977,0.216512801345543,0.17142216408148,2.05270790506447,0.730779293589983,-2,-3,1.32192861147449,4,-2,2,0,0,0
"52",52,"D1",10,"Yes","28.09.2019","Dortmund","Werder Bremen",2,2,19,11,7,5,8,10,1,0,0,0,1.27,6.3,10.09,1.32,3.36,1,1,0.753321490407349,0.151860046478942,0.0948184631137099,2.41182451770099,0.436315435820071,0,0,1.97550908188092,8,2,-2,1,0,0
"53",53,"D1",10,"Yes","29.09.2019","Fortuna Dusseldorf","Freiburg",1,2,17,9,7,3,9,9,2,2,0,0,2.44,3.58,2.78,1.64,2.26,0,3,0.390737628971214,0.266312797399375,0.342949573629411,1.43852568431302,1.29516151828761,-1,-3,0.143364166025409,8,4,0,0,0,0
"54",54,"D1",10,"Yes","29.09.2019","FC Koln","Hertha",0,4,8,10,3,6,11,13,1,0,1,0,2.15,3.66,3.23,1.61,2.32,0,3,0.443839566289848,0.26072542828502,0.295435005425131,1.59224412715457,1.14703044456041,-4,-3,0.445213682594151,-2,-3,-2,1,1,0
