"","Division","Season","Capacity","Spectators","Covid","Occupancy","Date","Home","Away","HG","AG","HS","AS","HST","AST","HF","AF","HY","AY","HR","AR","AvgH","AvgD","AvgA","Avg.2.5","Avg.2.5.1","HP","AP","ProbH","ProbD","ProbA","HEP","AEP","goalsDiff","shotsDiff","shotsTargetDiff","pointsDiff","expPointsDiff","foulsDiff","yellowDiff","redDiff","Season_c"
"40","E0",12,39571,38354,"No",0.969245154279649,"13/09/2021","Everton","Burnley",3,1,14,11,6,6,3,6,1,1,0,0,1.75,3.71,5.01,1.99,1.85,3,0,0.54914896697206,0.259032531590594,0.191818501437346,1.90647943250677,0.834488035902633,2,3,0,3,1.07199139660414,-3,0,0,0
"41","E0",12,52338,50407,"No",0.963105200810119,"17/09/2021","Newcastle","Leeds",1,1,17,22,7,9,9,11,2,2,0,0,3.01,3.62,2.33,1.65,2.29,1,1,0.320170360725931,0.266219001598081,0.413610637675988,1.22673008377587,1.50705091462605,0,-5,-2,0,-0.280320830850171,-2,0,0,0
"42","E0",12,32050,29724,"No",0.927425897035881,"18/09/2021","Wolves","Brentford",0,2,11,9,0,3,10,7,4,2,0,1,1.9,3.27,4.83,2.49,1.56,0,3,0.506479263470807,0.294284587337778,0.199236149191415,1.8137223777502,0.891993034912022,-2,2,-3,-3,0.921729342838177,3,2,-1,0
"43","E0",12,21994,21944,"No",0.99772665272347,"18/09/2021","Burnley","Arsenal",0,1,18,13,3,3,9,8,2,1,0,0,3.82,3.5,2.03,2.03,1.82,0,3,0.251686173378298,0.274697480658599,0.473616345963103,1.02975600079349,1.69554651854791,-1,5,0,-3,-0.665790517754414,1,1,0,0
"44","E0",12,54074,52985,"No",0.979860931316344,"18/09/2021","Liverpool","Crystal Palace",3,0,25,13,10,2,17,11,3,1,0,0,1.22,6.84,14.04,1.5,2.6,3,0,0.790353164256933,0.140969424034131,0.0686774117089358,2.51202891680493,0.347001659160939,3,12,8,3,2.16502725764399,6,2,0,0
"45","E0",12,55017,52698,"No",0.957849392006107,"18/09/2021","Man City","Southampton",0,0,18,10,1,2,5,12,0,2,0,0,1.15,8.46,18.55,1.4,2.99,1,1,0.834774421592121,0.11347406440082,0.0517515140070587,2.61779732917718,0.268728606421996,0,8,-1,0,2.34906872275519,-7,-2,0,0
"46","E0",12,27244,26649,"No",0.978160328879753,"18/09/2021","Norwich","Watford",1,3,12,12,5,8,10,14,1,1,0,0,2.18,3.39,3.47,2.11,1.76,0,3,0.440274570422298,0.283126419917584,0.276599009660118,1.60395013118448,1.11292344889794,-2,0,-3,-3,0.49102668228654,-4,0,0,0
"47","E0",12,42682,41888,"No",0.981397310341596,"18/09/2021","Aston Villa","Everton",3,0,15,11,3,1,7,10,1,1,0,0,2.4,3.36,3.06,2,1.84,3,0,0.400224215246637,0.285874439461883,0.31390134529148,1.48654708520179,1.22757847533632,3,4,2,3,0.258968609865471,-3,0,0,0
"48","E0",12,31800,31078,"No",0.977295597484277,"19/09/2021","Brighton","Leicester",2,1,12,14,5,3,8,10,2,1,0,0,2.75,3.23,2.73,2.17,1.71,3,0,0.349807004946862,0.297823301425347,0.352369693627791,1.34724431626593,1.35493238230872,1,-2,2,3,-0.00768806604278804,-2,1,0,0
"49","E0",12,60000,60000,"No",1,"19/09/2021","West Ham","Man United",1,2,13,17,4,10,5,8,0,0,0,0,4.51,3.9,1.78,1.69,2.21,0,3,0.213214246225291,0.246563141147708,0.540222612627001,0.886205879823581,1.86723097902871,-1,-4,-6,-3,-0.98102509920513,-3,0,0,0
"50","E0",12,62062,60059,"No",0.967725822564532,"19/09/2021","Tottenham","Chelsea",0,3,8,20,2,10,4,15,0,1,0,0,4.89,3.83,1.74,2.09,1.77,0,3,0.196575372771116,0.250980045130746,0.552444582098137,0.840706163444095,1.90831379142516,-3,-12,-8,-3,-1.06760762798106,-11,-1,0,0
"51","E0",12,40853,40036,"No",0.980001468680391,"25/09/2021","Chelsea","Man City",0,1,5,15,0,4,12,10,3,2,0,0,2.66,3.26,2.79,2.13,1.75,0,3,0.361094789665084,0.294635625923044,0.344269584411872,1.3779199949183,1.32744437915866,-1,-10,-4,-3,0.0504756157596353,2,1,0,0
"52","E0",12,74879,72922,"No",0.973864501395585,"25/09/2021","Man United","Aston Villa",0,1,28,7,4,3,9,13,2,2,0,0,1.4,5.08,7.84,1.6,2.39,0,3,0.687681299555212,0.189518468381358,0.122800232063431,2.25256236704699,0.557919164571649,-1,21,1,-3,1.69464320247534,-4,0,0,0
"53","E0",12,39571,38821,"No",0.981046726137828,"25/09/2021","Everton","Norwich",2,0,11,10,4,2,12,9,2,3,0,0,1.63,3.86,5.96,1.89,1.95,3,0,0.589702708383531,0.24901953747802,0.161277754138449,2.01812766262861,0.732852799893367,2,1,2,3,1.28527486273525,3,-1,0,0
"54","E0",12,37890,36417,"No",0.961124307205067,"25/09/2021","Leeds","West Ham",1,2,15,20,5,7,10,6,3,2,0,0,3.04,3.67,2.29,1.61,2.37,0,3,0.316871962507588,0.262477047962689,0.420650989529724,1.21309293548545,1.52443001655186,-1,-5,-2,-3,-0.311337081066407,4,1,0,0
"55","E0",12,32273,31650,"No",0.980695937780807,"25/09/2021","Leicester","Burnley",2,2,22,9,5,3,10,8,2,4,0,0,1.59,4.05,6.12,1.86,1.98,1,1,0.605181620410047,0.237589821346167,0.157228558243787,2.05313468257631,0.709275496077527,0,13,2,0,1.34385918649878,2,-2,0,0
"56","E0",12,21577,20650,"No",0.957037586318765,"25/09/2021","Watford","Newcastle",1,1,15,20,4,6,19,12,4,3,0,0,2.27,3.37,3.32,2.04,1.81,1,1,0.42420956446898,0.285743534523615,0.290046901007405,1.55837222793055,1.15588423754583,0,-5,-2,0,0.402487990384725,7,1,0,0
