"","Division","Season","Date","Covid19","Home","Away","HG","AG","HS","AS","HST","AST","HF","AF","HY","AY","HR","AR","AvgH","AvgD","AvgA","Avg.2.5","Avg.2.5.1","HP","AP","ProbH","ProbD","ProbA","HEP","AEP","goalsDiff","shotsDiff","shotsTargetDiff","pointsDiff","expPointsDiff","foulsDiff","yellowDiff","redDiff","Season_c"
"11","D1",10,"24.08.2019","Yes","Augsburg","Union Berlin",1,1,12,13,4,1,16,19,3,1,0,1,2.24,3.32,3.31,1.95,1.86,1,1,0.425272054612158,0.286930542870853,0.287797402516989,1.56274670670733,1.15032275042182,0,-1,3,0,0.412423956285506,-3,2,-1,0
"12","D1",10,"24.08.2019","Yes","Fortuna Dusseldorf","Leverkusen",1,3,11,11,6,7,14,10,3,2,0,0,4.36,4.2,1.72,1.46,2.69,0,3,0.218675836683295,0.227006344747421,0.554317818569284,0.883033854797307,1.88995980045527,-2,0,-1,-3,-1.00692594565797,4,1,0,0
"13","D1",10,"24.08.2019","Yes","Hoffenheim","Werder Bremen",3,2,10,18,3,6,13,15,2,5,0,1,1.88,3.92,3.83,1.49,2.62,3,0,0.50749739720656,0.243391608864371,0.249110993929069,1.76588380048405,0.990724590651577,1,-8,-3,3,0.775159209832475,-2,-3,-1,0
"14","D1",10,"24.08.2019","Yes","Mainz","M'gladbach",1,3,21,15,4,6,12,14,2,2,0,0,2.86,3.42,2.46,1.8,2.03,0,3,0.33346016646849,0.278858501783591,0.387681331747919,1.27923900118906,1.44190249702735,-2,6,-2,-3,-0.162663495838288,-2,0,0,0
"15","D1",10,"24.08.2019","Yes","Paderborn","Freiburg",1,3,15,9,2,4,20,6,3,1,0,0,2.38,3.6,2.84,1.61,2.31,0,3,0.400137762609975,0.264535520836595,0.33532671655343,1.46494880866652,1.27051567049688,-2,6,-2,-3,0.194433138169636,14,2,0,0
"16","D1",10,"24.08.2019","Yes","Schalke 04","Bayern Munich",0,3,9,10,2,6,11,10,0,0,0,0,8.12,4.93,1.38,1.59,2.35,0,3,0.117217947436794,0.193064854601779,0.689717197961427,0.544718696912161,2.26221644848606,-3,-1,-4,-3,-1.7174977515739,1,0,0,0
"17","D1",10,"25.08.2019","Yes","RB Leipzig","Ein Frankfurt",2,1,13,11,5,5,10,13,2,3,0,0,1.49,4.63,6.06,1.5,2.59,3,0,0.637881684812633,0.205279419086571,0.156838896100796,2.11892447352447,0.675796107388959,1,2,0,3,1.44312836613551,-3,-1,0,0
"18","D1",10,"25.08.2019","Yes","Hertha","Wolfsburg",0,3,8,9,2,4,15,11,1,0,0,0,2.42,3.46,2.87,1.75,2.09,0,3,0.39329393872184,0.275078419568455,0.331627641709705,1.45496023573398,1.26996134469757,-3,-1,-2,-3,0.184998891036406,4,1,0,0
"19","D1",10,"30.08.2019","Yes","M'gladbach","RB Leipzig",1,3,11,14,3,6,17,19,3,2,0,0,3.28,3.76,2.11,1.6,2.35,0,3,0.29181379472693,0.254560969868173,0.453625235404896,1.13000235404896,1.61543667608286,-2,-3,-3,-3,-0.485434322033898,-2,1,0,0
"20","D1",10,"31.08.2019","Yes","Bayern Munich","Mainz",6,1,19,7,10,4,16,12,3,3,0,0,1.09,11.05,28.84,1.24,3.93,3,0,0.879942986855886,0.0867998059432503,0.0332572072008639,2.72662876651091,0.186571427545842,5,12,6,3,2.54005733896507,4,0,0,0
"21","D1",10,"31.08.2019","Yes","Freiburg","FC Koln",1,2,14,9,1,3,6,15,0,2,0,0,2.45,3.45,2.87,1.73,2.11,0,3,0.390045498414449,0.276988832207362,0.332965669378188,1.44712532745071,1.27588584034193,-1,5,-2,-3,0.171239487108783,-9,-2,0,0
"22","D1",10,"31.08.2019","Yes","Leverkusen","Hoffenheim",0,0,20,6,2,1,7,11,2,2,0,0,1.55,4.88,5.08,1.35,3.17,1,1,0.616241262391743,0.195732368177705,0.188026369430552,2.04445615535293,0.75981147646936,0,14,1,0,1.28464467888357,-4,0,0,0
"23","D1",10,"31.08.2019","Yes","Schalke 04","Hertha",3,0,9,9,2,3,13,9,1,1,0,0,2.12,3.45,3.51,1.83,1.98,3,0,0.450758802443355,0.276988017733308,0.272253179823337,1.62926442506337,1.09374755720332,3,0,-1,3,0.535516867860054,4,0,0,0
"24","D1",10,"31.08.2019","Yes","Wolfsburg","Paderborn",1,1,15,7,5,3,8,12,0,3,0,0,1.46,4.85,6.46,1.39,2.96,1,1,0.654862928374955,0.197133994933492,0.148003076691553,2.16172278005836,0.641143225008152,0,8,2,0,1.52057955505021,-4,-3,0,0
"25","D1",10,"31.08.2019","Yes","Union Berlin","Dortmund",3,1,15,13,7,2,13,2,0,0,0,0,8.99,5.56,1.32,1.46,2.7,3,0,0.106072518730922,0.171509342336509,0.722418138932569,0.489726898529276,2.33876375913422,2,2,5,3,-1.84903686060494,11,0,0,0
"26","D1",10,"01.09.2019","Yes","Werder Bremen","Augsburg",3,2,15,12,5,6,9,11,1,4,0,1,1.7,4.03,4.77,1.59,2.36,3,0,0.562356837150522,0.237222487135456,0.200420675714022,1.92429299858702,0.838484514277523,1,3,-1,3,1.0858084843095,-2,-3,-1,0
"27","D1",10,"01.09.2019","Yes","Ein Frankfurt","Fortuna Dusseldorf",2,1,15,14,8,4,13,15,2,4,0,0,1.69,4.08,4.77,1.55,2.43,3,0,0.565446669049134,0.234216880071823,0.200336450879043,1.93055688721922,0.835226232708953,1,1,4,3,1.09533065451027,-2,-2,0,0
"28","D1",10,"13.09.2019","Yes","Fortuna Dusseldorf","Wolfsburg",1,1,12,15,3,6,7,14,0,2,0,0,3.03,3.62,2.28,1.65,2.24,1,1,0.315859566944502,0.264379692773989,0.419760740281509,1.21195839360749,1.52366191361852,0,-3,-3,0,-0.311703520011022,-7,-2,0,0
"29","D1",10,"14.09.2019","Yes","Augsburg","Ein Frankfurt",2,1,9,23,6,3,8,8,2,1,0,0,3.48,3.69,2.05,1.61,2.32,3,0,0.27467619472979,0.259044216167932,0.466279589102278,1.0830728003573,1.65788298347477,1,-14,3,3,-0.574810183117463,0,1,0,0
"30","D1",10,"14.09.2019","Yes","Dortmund","Leverkusen",4,0,11,22,9,12,9,11,0,3,0,0,1.82,4.01,4.04,1.43,2.81,3,0,0.525110691897288,0.238329540960864,0.236559767141848,1.81366161665273,0.948008842386407,4,-11,-3,3,0.865652774266322,-2,-3,0,0
"31","D1",10,"14.09.2019","Yes","FC Koln","M'gladbach",0,1,14,15,7,4,22,17,2,2,0,0,2.57,3.53,2.66,1.65,2.24,0,3,0.371166214063507,0.270225827236037,0.358607958700456,1.38372446942656,1.3460497033374,-1,-1,3,-3,0.037674766089153,5,0,0,0
"32","D1",10,"14.09.2019","Yes","Mainz","Hertha",2,1,14,16,5,8,16,11,2,2,0,0,2.38,3.44,2.98,1.78,2.05,3,0,0.401522866498504,0.277797797170476,0.32067933633102,1.48236639666599,1.23983580616354,1,-2,-3,3,0.242530590502452,5,0,0,0
"33","D1",10,"14.09.2019","Yes","Union Berlin","Werder Bremen",1,2,12,16,5,7,23,10,3,4,1,1,2.79,3.5,2.48,1.67,2.21,0,3,0.342214617452945,0.272793937912491,0.384991444634564,1.29943779027133,1.42776827181618,-1,-4,-2,-3,-0.128330481544855,13,-1,0,0
"34","D1",10,"14.09.2019","Yes","RB Leipzig","Bayern Munich",1,1,12,14,6,7,11,4,4,2,0,0,3.78,4.04,1.87,1.47,2.68,1,1,0.252714537073585,0.236450730232216,0.510834732694199,0.994594341452971,1.76895492831481,0,-2,-1,0,-0.774360586861841,7,2,0,0
"35","D1",10,"15.09.2019","Yes","Hoffenheim","Freiburg",0,3,22,16,5,8,10,6,0,2,0,0,1.69,4.2,4.6,1.55,2.45,0,3,0.565044454843238,0.227363125877398,0.207592419279364,1.92249649040711,0.850140383715489,-3,6,-3,-3,1.07235610669162,4,-2,0,0
"36","D1",10,"15.09.2019","Yes","Paderborn","Schalke 04",1,5,9,18,1,11,17,12,2,1,0,0,3.04,3.64,2.26,1.54,2.45,0,3,0.314435984466257,0.262605877136654,0.422958138397089,1.20591383053543,1.53148029232792,-4,-9,-10,-3,-0.325566461792496,5,1,0,0
"37","D1",10,"20.09.2019","Yes","Schalke 04","Mainz",2,1,19,14,6,3,7,15,1,1,0,0,1.66,4.07,5.11,1.67,2.22,3,0,0.577128744467415,0.235389119365088,0.187482136167497,1.96677535276733,0.797835527867579,1,5,3,3,1.16893982489975,-8,0,0,0
"38","D1",10,"21.09.2019","Yes","Bayern Munich","FC Koln",4,0,24,16,5,2,15,20,4,0,0,1,1.12,9.25,21.04,1.25,3.83,3,0,0.851561706938858,0.103108012083408,0.0453302809777339,2.65779313289998,0.239098855016609,4,8,3,3,2.41869427788337,-5,4,-1,0
"39","D1",10,"21.09.2019","Yes","Freiburg","Augsburg",1,1,17,12,5,2,13,13,1,1,0,0,1.9,3.77,3.92,1.67,2.21,1,1,0.502847965593037,0.253424704145032,0.243727330261931,1.76196860092414,0.984606694930826,0,5,3,0,0.777361905993317,0,0,0,0
"40","D1",10,"21.09.2019","Yes","Hertha","Paderborn",2,1,6,17,4,8,13,15,4,4,0,0,1.73,4.02,4.54,1.48,2.64,3,0,0.552057496158453,0.237576982177643,0.210365521663904,1.893749470653,0.868673547169355,1,-11,-4,3,1.02507592348365,-2,0,0,0
"41","D1",10,"21.09.2019","Yes","Leverkusen","Union Berlin",2,0,20,4,7,0,10,10,0,1,0,1,1.36,5.31,7.82,1.44,2.74,3,0,0.699284282851417,0.17910105926138,0.121614657887203,2.27695390781563,0.543945032922989,2,16,7,3,1.73300887489264,0,-1,-1,0
"42","D1",10,"21.09.2019","Yes","Werder Bremen","RB Leipzig",0,3,11,14,1,7,11,13,0,3,0,1,4.19,4.25,1.75,1.46,2.69,0,3,0.228301741999847,0.225078658583378,0.546619599416775,0.909983884582918,1.8649374568337,-3,-3,-6,-3,-0.954953572250786,-2,-3,-1,0
"43","D1",10,"22.09.2019","Yes","M'gladbach","Fortuna Dusseldorf",2,1,23,18,11,4,14,11,2,3,0,0,1.69,4.09,4.77,1.54,2.46,3,0,0.565770661810125,0.233778097422766,0.200451240767109,1.93109008285314,0.835131819724094,1,5,7,3,1.09595826312905,3,-1,0,0
"44","D1",10,"22.09.2019","Yes","Ein Frankfurt","Dortmund",2,2,17,15,3,7,18,10,2,2,0,0,4.29,4.22,1.74,1.46,2.7,1,1,0.223109458178371,0.22681032596806,0.55008021585357,0.896138700503172,1.87705097352877,0,2,-4,0,-0.980912273025596,8,0,0,0
"45","D1",10,"23.09.2019","Yes","Wolfsburg","Hoffenheim",1,1,12,11,4,5,11,18,2,4,0,0,1.95,3.81,3.7,1.53,2.48,1,1,0.490475444914149,0.251030739522989,0.258493815562862,1.72245707426544,1.02651218621158,0,1,-1,0,0.69594488805386,-7,-2,0,0
"46","D1",10,"27.09.2019","Yes","Union Berlin","Ein Frankfurt",1,2,12,14,5,6,11,12,1,1,0,0,2.99,3.64,2.3,1.58,2.39,0,3,0.320366132723112,0.263157894736842,0.416475972540046,1.22425629290618,1.51258581235698,-1,-2,-1,-3,-0.288329519450801,-1,0,0,0
"47","D1",10,"28.09.2019","Yes","Augsburg","Leverkusen",0,3,8,11,1,5,16,9,4,0,0,0,4.71,4.52,1.63,1.39,2.99,0,3,0.202773702940213,0.211297376293895,0.585928920765892,0.819618485114534,1.96908413859157,-3,-3,-4,-3,-1.14946565347704,7,4,0,0
"48","D1",10,"28.09.2019","Yes","Hoffenheim","M'gladbach",0,3,17,11,4,5,10,11,2,2,0,0,2.43,3.61,2.79,1.58,2.38,0,3,0.393066629201644,0.264585016332408,0.342348354465948,1.44378490393734,1.29163007973025,-3,6,-1,-3,0.152154824207088,-1,0,0,0
"49","D1",10,"28.09.2019","Yes","Mainz","Wolfsburg",0,1,15,4,5,3,9,15,2,3,0,0,2.89,3.52,2.4,1.73,2.1,0,3,0.330557816315032,0.271395479872284,0.398046703812684,1.26306892881738,1.46553559131034,-1,11,2,-3,-0.202466662492957,-6,-1,0,0
"50","D1",10,"28.09.2019","Yes","Paderborn","Bayern Munich",2,3,10,18,5,6,7,6,1,1,0,0,15.89,9.07,1.14,1.19,4.65,0,3,0.0599142294411702,0.104965502295501,0.835120268263329,0.284708190619012,2.61032630708549,-1,-8,-1,-3,-2.32561811646648,1,0,0,0
"51","D1",10,"28.09.2019","Yes","RB Leipzig","Schalke 04",1,3,17,13,6,8,13,11,1,1,0,0,1.56,4.41,5.57,1.5,2.56,0,3,0.612065034572977,0.216512801345543,0.17142216408148,2.05270790506447,0.730779293589983,-2,4,-2,-3,1.32192861147449,2,0,0,0
"52","D1",10,"28.09.2019","Yes","Dortmund","Werder Bremen",2,2,19,11,7,5,8,10,1,0,0,0,1.27,6.3,10.09,1.32,3.36,1,1,0.753321490407349,0.151860046478942,0.0948184631137099,2.41182451770099,0.436315435820071,0,8,2,0,1.97550908188092,-2,1,0,0
"53","D1",10,"29.09.2019","Yes","Fortuna Dusseldorf","Freiburg",1,2,17,9,7,3,9,9,2,2,0,0,2.44,3.58,2.78,1.64,2.26,0,3,0.390737628971214,0.266312797399375,0.342949573629411,1.43852568431302,1.29516151828761,-1,8,4,-3,0.143364166025409,0,0,0,0
"54","D1",10,"29.09.2019","Yes","FC Koln","Hertha",0,4,8,10,3,6,11,13,1,0,1,0,2.15,3.66,3.23,1.61,2.32,0,3,0.443839566289848,0.26072542828502,0.295435005425131,1.59224412715457,1.14703044456041,-4,-2,-3,-3,0.445213682594151,-2,1,1,0
"55","D1",10,"04.10.2019","Yes","Hertha","Fortuna Dusseldorf",3,1,16,9,3,3,17,18,3,3,0,0,1.68,4.09,4.88,1.6,2.35,3,0,0.569793998081579,0.234047412414927,0.196158589503494,1.94342940665966,0.82252318092541,2,7,0,3,1.12090622573425,-1,0,0,0
"56","D1",10,"05.10.2019","Yes","Bayern Munich","Hoffenheim",1,2,20,8,4,5,8,12,2,0,0,0,1.11,10.03,23.32,1.21,4.31,0,3,0.863359074199915,0.0955462185804492,0.0410947072196358,2.68562344118019,0.218830340239356,-1,12,-1,-3,2.46679310094084,-4,2,0,0
"57","D1",10,"05.10.2019","Yes","Freiburg","Dortmund",2,2,6,8,1,4,10,8,0,3,0,0,5.3,4.32,1.59,1.45,2.72,1,1,0.17985012489592,0.220649458784346,0.599500416319733,0.760199833472107,2.01915070774355,0,-2,-3,0,-1.25895087427144,2,-3,0,0
"58","D1",10,"05.10.2019","Yes","Leverkusen","RB Leipzig",1,1,11,11,8,5,11,12,2,2,0,0,2.33,3.73,2.86,1.51,2.56,1,1,0.409945239696417,0.256078393697762,0.333976366605822,1.48591411278701,1.25800749351523,0,0,3,0,0.227906619271784,-1,0,0,0
"59","D1",10,"05.10.2019","Yes","Paderborn","Mainz",1,2,16,18,7,7,8,18,1,4,0,0,2.49,3.75,2.64,1.44,2.76,0,3,0.383555911991353,0.254681125562258,0.361762962446389,1.40534886153632,1.33997001290143,-1,-2,0,-3,0.0653788486348896,-10,-3,0,0
"60","D1",10,"05.10.2019","Yes","Schalke 04","FC Koln",1,1,15,9,3,5,15,15,4,4,0,0,1.64,4.15,5.08,1.59,2.35,1,1,0.582066970004859,0.230021645977824,0.187911384017317,1.9762225559924,0.793755798029774,0,6,-2,0,1.18246675796263,0,0,0,0
"61","D1",10,"06.10.2019","Yes","M'gladbach","Augsburg",5,1,13,13,9,3,9,9,1,2,0,0,1.53,4.53,5.75,1.5,2.59,3,0,0.623505418195658,0.210587922701845,0.165906659102497,2.08110417728882,0.708307900009335,4,0,6,3,1.37279627727948,0,-1,0,0
"62","D1",10,"06.10.2019","Yes","Wolfsburg","Union Berlin",1,0,13,14,4,3,17,15,2,2,0,0,1.67,3.89,5.22,1.71,2.15,3,0,0.571680344599445,0.24542575205169,0.182893903348865,1.96046678585003,0.794107462098284,1,-1,1,3,1.16635932375174,2,0,0,0
"63","D1",10,"06.10.2019","Yes","Ein Frankfurt","Werder Bremen",2,2,24,11,7,5,12,8,2,1,0,0,2.17,3.65,3.18,1.49,2.59,1,1,0.439191618012646,0.261108441393819,0.299699940593535,1.57868329543176,1.16020826317442,0,13,2,0,0.418475032257332,4,1,0,0
"64","D1",10,"18.10.2019","Yes","Ein Frankfurt","Leverkusen",3,0,10,19,5,10,11,12,1,1,0,0,2.85,3.79,2.32,1.52,2.52,3,0,0.335522374390891,0.252305743275472,0.412171882333637,1.25887286644814,1.48882139027638,3,-9,-5,3,-0.22994852382824,-1,0,0,0
"65","D1",10,"19.10.2019","Yes","Augsburg","Bayern Munich",2,2,9,24,7,9,10,6,3,3,0,0,16.44,8.18,1.16,1.28,3.64,1,1,0.0581997860626699,0.116968763187077,0.824831450750253,0.291568121375087,2.59146311543784,0,-15,-2,0,-2.29989499406275,4,0,0,0
"66","D1",10,"19.10.2019","Yes","Fortuna Dusseldorf","Mainz",1,0,20,7,4,1,10,17,2,4,0,1,2.57,3.55,2.65,1.66,2.22,3,0,0.371229011700176,0.268748890160409,0.360022098139416,1.38243592526094,1.34881518457866,1,13,3,3,0.0336207406822799,-7,-2,-1,0
"67","D1",10,"19.10.2019","Yes","RB Leipzig","Wolfsburg",1,1,13,14,5,6,10,9,1,3,0,0,1.54,4.35,5.9,1.61,2.32,1,1,0.619179734620024,0.219203860072376,0.161616405307599,2.07674306393245,0.704053075995175,0,-1,-1,0,1.37268998793727,1,-2,0,0
"68","D1",10,"19.10.2019","Yes","Union Berlin","Freiburg",2,0,18,12,5,4,21,13,3,0,0,0,2.58,3.45,2.69,1.85,1.97,3,0,0.369421655381602,0.276263150981024,0.354315193637373,1.38452811712583,1.33920873189314,2,6,1,3,0.0453193852326872,8,3,0,0
"69","D1",10,"19.10.2019","Yes","Werder Bremen","Hertha",1,1,15,11,5,2,8,11,1,1,0,0,2.14,3.68,3.25,1.52,2.51,1,1,0.446431904203776,0.259609857335891,0.293958238460333,1.59890556994722,1.14148457271689,0,4,3,0,0.45742099723033,-3,0,0,0
"70","D1",10,"19.10.2019","Yes","Dortmund","M'gladbach",1,0,20,13,7,3,13,15,1,2,0,0,1.47,4.83,6.25,1.37,3.07,3,0,0.649541367312819,0.197686503095206,0.152772129591975,2.14631060503366,0.656002891871131,1,7,4,3,1.49030771316253,-2,-1,0,0
"71","D1",10,"20.10.2019","Yes","FC Koln","Paderborn",3,0,16,9,6,1,6,7,0,0,0,0,1.68,4.36,4.5,1.38,3.02,3,0,0.568616540307435,0.219099951311122,0.212283508381443,1.92494957223343,0.85595047645545,3,7,5,3,1.06899909577798,-1,0,0,0
"72","D1",10,"20.10.2019","Yes","Hoffenheim","Schalke 04",2,0,9,11,3,1,12,14,2,2,0,0,2.69,3.52,2.55,1.71,2.15,3,0,0.354722319921911,0.271080409258505,0.374197270819584,1.33524736902424,1.39367222171726,2,-2,2,3,-0.0584248526930207,-2,0,0,0
"73","D1",10,"25.10.2019","Yes","Mainz","FC Koln",3,1,18,16,6,8,20,9,2,2,0,0,2.55,3.54,2.7,1.58,2.39,3,0,0.375265017667845,0.270318021201413,0.354416961130742,1.39611307420495,1.33356890459364,2,2,-2,3,0.0625441696113076,11,0,0,0
"74","D1",10,"26.10.2019","Yes","Bayern Munich","Union Berlin",2,1,21,6,10,4,9,15,0,1,0,0,1.11,10.24,20.85,1.2,4.43,3,0,0.860854976273507,0.0933153343421478,0.045829689384345,2.67588026316267,0.230804402495183,1,15,6,3,2.44507586066749,-6,-1,0,0
"75","D1",10,"26.10.2019","Yes","Freiburg","RB Leipzig",2,1,14,25,3,6,10,9,3,1,0,0,3.96,3.74,1.9,1.63,2.27,3,0,0.241369003138544,0.255567179793753,0.503063817067703,0.979674189209386,1.76475863099686,1,-11,-3,3,-0.785084441787475,1,2,0,0
"76","D1",10,"26.10.2019","Yes","Hertha","Hoffenheim",2,3,13,17,4,8,17,12,3,3,1,0,2.1,3.66,3.37,1.62,2.31,0,3,0.455183561401178,0.261170895885922,0.2836455427129,1.62672158008946,1.11210752402462,-1,-4,-4,-3,0.514614056064834,5,0,1,0
"77","D1",10,"26.10.2019","Yes","Paderborn","Fortuna Dusseldorf",2,0,14,18,6,4,21,17,5,4,0,0,2.38,3.85,2.73,1.39,2.97,3,0,0.401610185358547,0.248268114585284,0.350121700056169,1.45309867066093,1.29863321475379,2,-4,2,3,0.154465455907133,4,1,0,0
"78","D1",10,"26.10.2019","Yes","Schalke 04","Dortmund",0,0,13,8,3,3,8,7,3,2,0,0,3.07,3.51,2.29,1.69,2.18,1,1,0.311017300020508,0.272029376371213,0.416953323608279,1.20508127643274,1.52288934719605,0,5,0,0,-0.317808070763314,1,1,0,0
"79","D1",10,"26.10.2019","Yes","Leverkusen","Werder Bremen",2,2,21,10,4,3,12,13,2,1,0,0,1.62,4.29,5.1,1.43,2.78,1,1,0.589876734931573,0.222750655148986,0.187372609919441,1.99238085994371,0.784868484907309,0,11,1,0,1.2075123750364,-1,1,0,0
"80","D1",10,"27.10.2019","Yes","Wolfsburg","Augsburg",0,0,14,10,3,5,12,13,0,0,0,0,1.59,4.19,5.6,1.62,2.29,1,1,0.601177040284293,0.22813162149213,0.170691338223576,2.03166274234501,0.740205636162859,0,4,-2,0,1.29145710618215,-1,0,0,0
"81","D1",10,"27.10.2019","Yes","M'gladbach","Ein Frankfurt",4,2,12,15,7,3,12,11,1,1,0,0,1.91,3.93,3.69,1.5,2.58,3,0,0.499096569027289,0.242563472478911,0.2583399584938,1.73985317956078,1.01758334796031,2,-3,4,3,0.722269831600467,1,0,0,0
"82","D1",10,"01.11.2019","Yes","Hoffenheim","Paderborn",3,0,12,9,7,2,7,12,0,1,0,0,1.44,4.94,6.59,1.31,3.42,3,0,0.662246886557169,0.193043626850673,0.144709486592158,2.17978428652218,0.627172086627148,3,3,5,3,1.55261219989503,-5,-1,0,0
"83","D1",10,"02.11.2019","Yes","Dortmund","Wolfsburg",3,0,17,12,8,3,12,18,1,3,0,0,1.53,4.25,6.31,1.64,2.28,3,0,0.624035760908264,0.224652873926975,0.151311365164761,2.09676015665177,0.678586969421259,3,5,5,3,1.41817318723051,-6,-2,0,0
"84","D1",10,"02.11.2019","Yes","Ein Frankfurt","Bayern Munich",5,1,17,7,11,3,12,7,1,2,0,1,6.7,5.19,1.42,1.31,3.39,3,0,0.142668535410633,0.184177107370182,0.673154357219185,0.612182713602081,2.20364017902774,4,10,8,3,-1.59145746542566,5,-1,-1,0
"85","D1",10,"02.11.2019","Yes","Leverkusen","M'gladbach",1,2,23,11,6,6,13,8,2,1,1,0,2,3.82,3.5,1.5,2.57,0,3,0.477329525169582,0.249910746162085,0.272759728668333,1.68189932167083,1.06818993216708,-1,12,0,-3,0.613709389503749,5,1,1,0
"86","D1",10,"02.11.2019","Yes","RB Leipzig","Mainz",8,0,19,10,12,2,10,7,0,1,0,0,1.35,5.32,8.32,1.42,2.87,3,0,0.706205206425385,0.179206208397419,0.114588585177196,2.29782182767357,0.522971963929007,8,9,10,3,1.77484986374457,3,-1,0,0
"87","D1",10,"02.11.2019","Yes","Werder Bremen","Freiburg",2,2,20,13,10,3,17,9,3,4,0,1,1.95,3.73,3.74,1.65,2.25,1,1,0.489194051205083,0.25574487931633,0.255061069478586,1.72332703293158,1.02092808775209,0,7,7,0,0.702398945179492,8,-1,-1,0
"88","D1",10,"02.11.2019","Yes","Union Berlin","Hertha",1,0,16,8,6,3,14,9,1,1,0,0,2.81,3.34,2.53,1.9,1.91,3,0,0.338754615171839,0.285000140309242,0.37624524451892,1.30126398582476,1.413735873866,1,8,3,3,-0.112471888041243,5,0,0,0
"89","D1",10,"03.11.2019","Yes","Fortuna Dusseldorf","FC Koln",2,0,9,8,3,1,10,20,1,3,0,0,2.72,3.63,2.46,1.57,2.4,3,0,0.350262408510037,0.262455578828458,0.387282012661505,1.31324280435857,1.42430161681297,2,1,2,3,-0.111058812454402,-10,-2,0,0
"90","D1",10,"03.11.2019","Yes","Augsburg","Schalke 04",2,3,12,11,4,3,12,10,3,5,0,0,3.75,3.79,1.93,1.71,2.14,0,3,0.254294326031559,0.251610480901939,0.494095193066502,1.01449345899662,1.73389606010144,-1,1,1,-3,-0.719402601104826,2,-2,0,0
"91","D1",10,"08.11.2019","Yes","FC Koln","Hoffenheim",1,2,11,15,3,5,21,14,4,3,0,0,2.58,3.59,2.64,1.61,2.33,0,3,0.370928730773747,0.266572736879183,0.362498532347071,1.37935892920042,1.35406833392039,-1,-4,-2,-3,0.025290595280028,7,1,0,0
