Spectators;Season;Capacity;New;Date;Time;HomeTeam;AwayTeam
30880;12;31800;30880;18.01.2022;20:00;Brighton;Chelsea
31986;12;32273;31986;19.01.2022;19:30;Leicester;Tottenham
17094;12;17250;17094;19.01.2022;20:00;Brentford;Man United
20782;12;21577;20782;21.01.2022;20:00;Watford;Norwich
38203;12;39571;38203;22.01.2022;12:30;Everton;Aston Villa
16982;12;17250;16982;22.01.2022;15:00;Brentford;Wolves
36405;12;37890;36405;22.01.2022;15:00;Leeds;Newcastle
73130;12;74879;73130;22.01.2022;15:00;Man United;West Ham
0;12;32384;0;22.01.2022;17:30;Southampton;Man City
59255;12;60704;59255;23.01.2022;14:00;Arsenal;Burnley
25002;12;26047;25002;23.01.2022;14:00;Crystal Palace;Liverpool
31231;12;32273;31231;23.01.2022;14:00;Leicester;Brighton
40020;12;40853;40020;23.01.2022;16:30;Chelsea;Tottenham
19527;12;21994;19527;05.02.2022;18:00;Burnley;Watford
52186;12;52338;52186;08.02.2022;19:45;Newcastle;Everton
0;12;60000;0;08.02.2022;19:45;West Ham;Watford
21233;12;21994;21233;08.02.2022;20:00;Burnley;Man United
51658;12;55017;51658;09.02.2022;19:45;Man City;Brentford
0;12;27244;0;09.02.2022;19:45;Norwich;Crystal Palace
54012;12;62062;54012;09.02.2022;19:45;Tottenham;Southampton
0;12;42682;0;09.02.2022;20:00;Aston Villa;Leeds
53050;12;54074;53050;10.02.2022;19:45;Liverpool;Leicester
31523;12;32050;31523;10.02.2022;19:45;Wolves;Arsenal
73084;12;74879;73084;12.02.2022;12:30;Man United;Southampton
16958;12;17250;16958;12.02.2022;15:00;Brentford;Crystal Palace
39150;12;39571;39150;12.02.2022;15:00;Everton;Leeds
20795;12;21577;20795;12.02.2022;15:00;Watford;Brighton
27010;12;27244;27010;12.02.2022;17:30;Norwich;Man City
21239;12;21994;21239;13.02.2022;14:00;Burnley;Liverpool
52207;12;52338;52207;13.02.2022;14:00;Newcastle;Aston Villa
56452;12;62062;56452;13.02.2022;14:00;Tottenham;Wolves
32061;12;32273;32061;13.02.2022;16:30;Leicester;West Ham
73012;12;74879;73012;15.02.2022;20:15;Man United;Brighton
59949;12;60000;59949;19.02.2022;12:30;West Ham;Newcastle
60015;12;60704;60015;19.02.2022;15:00;Arsenal;Brentford
0;12;42682;0;19.02.2022;15:00;Aston Villa;Watford
29921;12;31800;29921;19.02.2022;15:00;Brighton;Burnley
25109;12;26047;25109;19.02.2022;15:00;Crystal Palace;Chelsea
53135;12;54074;53135;19.02.2022;15:00;Liverpool;Norwich
31312;12;32384;31312;19.02.2022;15:00;Southampton;Everton
53201;12;55017;53201;19.02.2022;17:30;Man City;Tottenham
0;12;37890;0;20.02.2022;14:00;Leeds;Man United
31497;12;32050;31497;20.02.2022;16:30;Wolves;Leicester
19488;12;21994;19488;23.02.2022;19:30;Burnley;Tottenham
20012;12;21577;20012;23.02.2022;19:30;Watford;Crystal Palace
53018;12;54074;53018;23.02.2022;19:45;Liverpool;Leeds
59968;12;60704;59968;24.02.2022;19:45;Arsenal;Wolves
31182;12;32384;31182;25.02.2022;20:00;Southampton;Norwich
36599;12;37890;36599;26.02.2022;12:30;Leeds;Tottenham
17039;12;17250;17039;26.02.2022;15:00;Brentford;Newcastle
24203;12;26047;24203;26.02.2022;15:00;Crystal Palace;Burnley
0;12;74879;0;26.02.2022;15:00;Man United;Watford
31475;12;31800;31475;26.02.2022;15:30;Brighton;Aston Villa
39032;12;39571;39032;26.02.2022;17:30;Everton;Man City
59946;12;60000;59946;27.02.2022;14:00;West Ham;Wolves
17825;12;21994;17825;01.03.2022;19:45;Burnley;Leicester
32236;12;32273;32236;05.03.2022;12:30;Leicester;Leeds
41855;12;42682;41855;05.03.2022;15:00;Aston Villa;Southampton
19439;12;21994;19439;05.03.2022;15:00;Burnley;Chelsea
52214;12;52338;52214;05.03.2022;15:00;Newcastle;Brighton
26887;12;27244;26887;05.03.2022;15:00;Norwich;Brentford
31395;12;32050;31395;05.03.2022;15:00;Wolves;Crystal Palace
53059;12;54074;53059;05.03.2022;17:30;Liverpool;West Ham
21142;12;21577;21142;06.03.2022;14:00;Watford;Arsenal
53165;12;55017;53165;06.03.2022;16:30;Man City;Man United
59647;12;62062;59647;07.03.2022;20:00;Tottenham;Everton
0;12;27244;0;10.03.2022;19:30;Norwich;Chelsea
31016;12;32384;31016;10.03.2022;19:30;Southampton;Newcastle
29658;12;32050;29658;10.03.2022;19:30;Wolves;Watford
36400;12;37890;36400;10.03.2022;19:45;Leeds;Aston Villa
31474;12;31800;31474;12.03.2022;12:30;Brighton;Liverpool
16984;12;17250;16984;12.03.2022;15:00;Brentford;Burnley
73458;12;74879;73458;12.03.2022;17:30;Man United;Tottenham
40026;12;40853;40026;13.03.2022;14:00;Chelsea;Newcastle
39112;12;39571;39112;13.03.2022;14:00;Everton;Wolves
36321;12;37890;36321;13.03.2022;14:00;Leeds;Norwich
0;12;32384;0;13.03.2022;14:00;Southampton;Watford
59957;12;60000;59957;13.03.2022;14:00;West Ham;Aston Villa
60111;12;60704;60111;13.03.2022;16:30;Arsenal;Leicester
25309;12;26047;25309;14.03.2022;20:00;Crystal Palace;Man City
31144;12;31800;31144;16.03.2022;19:30;Brighton;Tottenham
60112;12;60704;60112;16.03.2022;20:15;Arsenal;Liverpool
39068;12;39571;39068;17.03.2022;19:45;Everton;Newcastle
0;12;32050;0;18.03.2022;20:00;Wolves;Leeds
41956;12;42682;41956;19.03.2022;12:30;Aston Villa;Arsenal
31830;12;32273;31830;20.03.2022;14:00;Leicester;Brentford
58685;12;62062;58685;20.03.2022;16:30;Tottenham;West Ham
53104;12;54074;53104;02.04.2022;12:30;Liverpool;Watford
31245;12;31800;31245;02.04.2022;15:00;Brighton;Norwich
21562;12;21994;21562;02.04.2022;15:00;Burnley;Man City
39061;12;40853;39061;02.04.2022;15:00;Chelsea;Brentford
36580;12;37890;36580;02.04.2022;15:00;Leeds;Southampton
31012;12;32050;31012;02.04.2022;15:00;Wolves;Aston Villa
73444;12;74879;73444;02.04.2022;17:30;Man United;Leicester
59953;12;60000;59953;03.04.2022;14:00;West Ham;Everton
57553;12;62062;57553;03.04.2022;16:30;Tottenham;Newcastle
25149;12;26047;25149;04.04.2022;20:00;Crystal Palace;Arsenal
19830;12;21994;19830;06.04.2022;19:30;Burnley;Everton
52164;12;52338;52164;08.04.2022;20:00;Newcastle;Wolves
39080;12;39571;39080;09.04.2022;12:30;Everton;Man United
60112;12;60704;60112;09.04.2022;15:00;Arsenal;Brighton
0;12;32384;0;09.04.2022;15:00;Southampton;Chelsea
20957;12;21577;20957;09.04.2022;15:00;Watford;Leeds
41949;12;42682;41949;09.04.2022;17:30;Aston Villa;Tottenham
17032;12;17250;17032;10.04.2022;14:00;Brentford;West Ham
31896;12;32273;31896;10.04.2022;14:00;Leicester;Crystal Palace
26361;12;27244;26361;10.04.2022;14:00;Norwich;Burnley
53197;12;55017;53197;10.04.2022;16:30;Man City;Liverpool
58685;12;62062;58685;16.04.2022;12:30;Tottenham;Brighton
73381;12;74879;73381;16.04.2022;15:00;Man United;Norwich
31465;12;32384;31465;16.04.2022;15:00;Southampton;Arsenal
20747;12;21577;20747;16.04.2022;15:00;Watford;Brentford
52104;12;52338;52104;17.04.2022;14:15;Newcastle;Leicester
59958;12;60000;59958;17.04.2022;14:15;West Ham;Burnley
52686;12;54074;52686;19.04.2022;20:00;Liverpool;Man United
32249;12;40853;32249;20.04.2022;19:45;Chelsea;Arsenal
39153;12;39571;39153;20.04.2022;19:45;Everton;Leicester
51938;12;52338;51938;20.04.2022;19:45;Newcastle;Crystal Palace
52226;12;55017;52226;20.04.2022;20:00;Man City;Brighton
17384;12;21994;17384;21.04.2022;19:45;Burnley;Southampton
60223;12;60704;60223;23.04.2022;12:30;Arsenal;Man United
32185;12;32273;32185;23.04.2022;15:00;Leicester;Aston Villa
53013;12;55017;53013;23.04.2022;15:00;Man City;Watford
26910;12;27244;26910;23.04.2022;15:00;Norwich;Newcastle
17072;12;17250;17072;23.04.2022;17:30;Brentford;Tottenham
31335;12;31800;31335;24.04.2022;14:00;Brighton;Southampton
18960;12;21994;18960;24.04.2022;14:00;Burnley;Wolves
32231;12;40853;32231;24.04.2022;14:00;Chelsea;West Ham
52852;12;54074;52852;24.04.2022;16:30;Liverpool;Everton
25357;12;26047;25357;25.04.2022;20:00;Crystal Palace;Leeds
73564;12;74879;73564;28.04.2022;19:45;Man United;Chelsea
52281;12;52338;52281;30.04.2022;12:30;Newcastle;Liverpool
41919;12;42682;41919;30.04.2022;15:00;Aston Villa;Norwich
0;12;32384;0;30.04.2022;15:00;Southampton;Crystal Palace
20738;12;21577;20738;30.04.2022;15:00;Watford;Burnley
31243;12;32050;31243;30.04.2022;15:00;Wolves;Brighton
35771;12;37890;35771;30.04.2022;17:30;Leeds;Man City
39256;12;39571;39256;01.05.2022;14:00;Everton;Chelsea
59482;12;62062;59482;01.05.2022;14:00;Tottenham;Leicester
59959;12;60000;59959;01.05.2022;16:30;West Ham;Arsenal
73482;12;74879;73482;02.05.2022;20:00;Man United;Brentford
"17.051	";12;17250;"17.051	";07.05.2022;15:00;Brentford;Southampton
0;12;21994;0;07.05.2022;15:00;Burnley;Aston Villa
32190;12;40853;32190;07.05.2022;15:00;Chelsea;Wolves
24622;12;26047;24622;07.05.2022;15:00;Crystal Palace;Watford
31637;12;31800;31637;07.05.2022;17:30;Brighton;Man United
53177;12;54074;53177;07.05.2022;19:45;Liverpool;Tottenham
60108;12;60704;60108;08.05.2022;14:00;Arsenal;Leeds
32000;12;32273;32000;08.05.2022;14:00;Leicester;Everton
0;12;27244;0;08.05.2022;14:00;Norwich;West Ham
53336;12;55017;53336;08.05.2022;16:30;Man City;Newcastle
40290;12;42682;40290;10.05.2022;20:00;Aston Villa;Liverpool
36549;12;37890;36549;11.05.2022;19:30;Leeds;Chelsea
30892;12;32273;30892;11.05.2022;19:45;Leicester;Norwich
20653;12;21577;20653;11.05.2022;19:45;Watford;Everton
0;12;32050;0;11.05.2022;20:15;Wolves;Man City
62027;12;62062;62027;12.05.2022;19:45;Tottenham;Arsenal
61729;12;62062;61729;15.05.2022;12:00;Tottenham;Burnley
41136;12;42682;41136;15.05.2022;14:00;Aston Villa;Crystal Palace
36638;12;37890;36638;15.05.2022;14:00;Leeds;Brighton
20257;12;21577;20257;15.05.2022;14:00;Watford;Leicester
59972;12;60000;59972;15.05.2022;14:00;West Ham;Man City
31219;12;32050;31219;15.05.2022;14:00;Wolves;Norwich
38819;12;39571;38819;15.05.2022;16:30;Everton;Brentford
52274;12;52338;52274;16.05.2022;20:00;Newcastle;Arsenal
31588;12;32384;31588;17.05.2022;19:45;Southampton;Liverpool
38448;12;39571;38448;19.05.2022;19:45;Everton;Crystal Palace
40468;12;42682;40468;19.05.2022;20:00;Aston Villa;Burnley
31478;12;40853;31478;19.05.2022;20:00;Chelsea;Leicester
60201;12;60704;60201;22.05.2022;16:00;Arsenal;Everton
16957;12;17250;16957;22.05.2022;16:00;Brentford;Leeds
"31.604	";12;31800;"31.604	";22.05.2022;16:00;Brighton;West Ham
21361;12;21994;21361;22.05.2022;16:00;Burnley;Newcastle
32089;12;40853;32089;22.05.2022;16:00;Chelsea;Watford
25434;12;26047;25434;22.05.2022;16:00;Crystal Palace;Man United
32003;12;32273;32003;22.05.2022;16:00;Leicester;Southampton
53097;12;54074;53097;22.05.2022;16:00;Liverpool;Wolves
59972;12;55017;59972;22.05.2022;16:00;Man City;Aston Villa
27022;12;27244;27022;22.05.2022;16:00;Norwich;Tottenham
