Div;Season;Capacity;Spectators;Date;Time;HomeTeam;AwayTeam
E1;12;;;03.01.2022;15:00;Reading;Derby
E1;12;;;03.01.2022;15:00;Stoke;Preston
E1;12;;;11.01.2022;20:00;Reading;Fulham
E1;12;;;15.01.2022;12:30;Cardiff;Blackburn
E1;12;;;15.01.2022;12:30;Luton;Bournemouth
E1;12;;;15.01.2022;15:00;Derby;Sheffield United
E1;12;;;15.01.2022;15:00;Fulham;Bristol City
E1;12;;;15.01.2022;15:00;Huddersfield;Swansea
E1;12;;;15.01.2022;15:00;Middlesbrough;Reading
E1;12;;;15.01.2022;15:00;Millwall;Nott'm Forest
E1;12;;;15.01.2022;15:00;Peterboro;Coventry
E1;12;;;15.01.2022;15:00;Preston;Birmingham
E1;12;;;15.01.2022;15:00;QPR;West Brom
E1;12;;;16.01.2022;12:00;Hull;Stoke
E1;12;;;18.01.2022;19:45;Fulham;Birmingham
E1;12;;;18.01.2022;19:45;Preston;Sheffield United
E1;12;;;19.01.2022;19:45;Hull;Blackburn
E1;12;;;19.01.2022;20:00;Reading;Luton
E1;12;;;22.01.2022;12:30;Bristol City;Cardiff
E1;12;;;22.01.2022;12:30;Nott'm Forest;Derby
E1;12;;;22.01.2022;15:00;Birmingham;Barnsley
E1;12;;;22.01.2022;15:00;Blackpool;Millwall
E1;12;;;22.01.2022;15:00;Bournemouth;Hull
E1;12;;;22.01.2022;15:00;Coventry;QPR
E1;12;;;22.01.2022;15:00;Reading;Huddersfield
E1;12;;;22.01.2022;15:00;Sheffield United;Luton
E1;12;;;22.01.2022;15:00;Stoke;Fulham
E1;12;;;22.01.2022;15:00;Swansea;Preston
E1;12;;;22.01.2022;15:00;West Brom;Peterboro
E1;12;;;24.01.2022;19:45;Blackburn;Middlesbrough
E1;12;;;25.01.2022;19:45;Birmingham;Peterboro
E1;12;;;25.01.2022;19:45;Coventry;Stoke
E1;12;;;25.01.2022;19:45;Luton;Bristol City
E1;12;;;25.01.2022;19:45;Nott'm Forest;Barnsley
E1;12;;;25.01.2022;19:45;QPR;Swansea
E1;12;;;26.01.2022;20:00;West Brom;Preston
E1;12;;;28.01.2022;19:45;Huddersfield;Stoke
E1;12;;;29.01.2022;15:00;Barnsley;Bournemouth
E1;12;;;29.01.2022;15:00;Fulham;Blackpool
E1;12;;;29.01.2022;15:00;Hull;Swansea
E1;12;;;29.01.2022;15:00;Luton;Blackburn
E1;12;;;29.01.2022;15:00;Middlesbrough;Coventry
E1;12;;;29.01.2022;15:00;Millwall;West Brom
E1;12;;;29.01.2022;15:00;Preston;Bristol City
E1;12;;;29.01.2022;15:00;QPR;Reading
E1;12;;;29.01.2022;17:30;Peterboro;Sheffield United
E1;12;;;30.01.2022;13:30;Derby;Birmingham
E1;12;;;30.01.2022;16:00;Cardiff;Nott'm Forest
E1;12;;;01.02.2022;19:45;Millwall;Preston
E1;12;;;01.02.2022;19:45;Swansea;Luton
E1;12;;;02.02.2022;19:45;Barnsley;Cardiff
E1;12;;;02.02.2022;19:45;Huddersfield;Derby
E1;12;;;04.02.2022;19:45;Birmingham;Sheffield United
E1;12;;;05.02.2022;15:00;Blackpool;Bristol City
E1;12;;;05.02.2022;15:00;Hull;Preston
E1;12;;;05.02.2022;17:30;Swansea;Blackburn
E1;12;;;08.02.2022;19:45;Coventry;Blackpool
E1;12;;;08.02.2022;19:45;Derby;Hull
E1;12;;;08.02.2022;19:45;Fulham;Millwall
E1;12;;;08.02.2022;19:45;Luton;Barnsley
E1;12;;;08.02.2022;19:45;Stoke;Swansea
E1;12;;;09.02.2022;19:45;Blackburn;Nott'm Forest
E1;12;;;09.02.2022;19:45;Bournemouth;Birmingham
E1;12;;;09.02.2022;19:45;Bristol City;Reading
E1;12;;;09.02.2022;19:45;Cardiff;Peterboro
E1;12;;;09.02.2022;19:45;Preston;Huddersfield
E1;12;;;09.02.2022;19:45;QPR;Middlesbrough
E1;12;;;09.02.2022;19:45;Sheffield United;West Brom
E1;12;;;12.02.2022;12:30;Huddersfield;Sheffield United
E1;12;;;12.02.2022;15:00;Barnsley;QPR
E1;12;;;12.02.2022;15:00;Birmingham;Luton
E1;12;;;12.02.2022;15:00;Blackpool;Bournemouth
E1;12;;;12.02.2022;15:00;Hull;Fulham
E1;12;;;12.02.2022;15:00;Middlesbrough;Derby
E1;12;;;12.02.2022;15:00;Millwall;Cardiff
E1;12;;;12.02.2022;15:00;Nott'm Forest;Stoke
E1;12;;;12.02.2022;15:00;Peterboro;Preston
E1;12;;;12.02.2022;15:00;Reading;Coventry
E1;12;;;13.02.2022;13:00;Swansea;Bristol City
E1;12;;;14.02.2022;20:00;West Brom;Blackburn
E1;12;;;15.02.2022;19:45;Cardiff;Coventry
E1;12;;;15.02.2022;19:45;Millwall;QPR
E1;12;;;15.02.2022;19:45;Sheffield United;Hull
E1;12;;;16.02.2022;19:45;Peterboro;Reading
E1;12;;;19.02.2022;12:30;Fulham;Huddersfield
E1;12;;;19.02.2022;15:00;Bristol City;Middlesbrough
E1;12;;;19.02.2022;15:00;Cardiff;Blackpool
E1;12;;;19.02.2022;15:00;Coventry;Barnsley
E1;12;;;19.02.2022;15:00;Derby;Peterboro
E1;12;;;19.02.2022;15:00;Luton;West Brom
E1;12;;;19.02.2022;15:00;Preston;Reading
E1;12;;;19.02.2022;15:00;QPR;Hull
E1;12;;;19.02.2022;15:00;Sheffield United;Swansea
E1;12;;;19.02.2022;15:00;Stoke;Birmingham
E1;12;;;22.02.2022;19:45;Bristol City;Coventry
E1;12;;;22.02.2022;19:45;Hull;Barnsley
E1;12;;;22.02.2022;19:45;Middlesbrough;West Brom
E1;12;;;22.02.2022;19:45;Preston;Nott'm Forest
E1;12;;;22.02.2022;20:00;Reading;Birmingham
E1;12;;;23.02.2022;19:45;Derby;Millwall
E1;12;;;23.02.2022;19:45;Fulham;Peterboro
E1;12;;;23.02.2022;19:45;Huddersfield;Cardiff
E1;12;;;23.02.2022;19:45;QPR;Blackpool
E1;12;;;23.02.2022;19:45;Sheffield United;Blackburn
E1;12;;;23.02.2022;19:45;Stoke;Luton
E1;12;;;26.02.2022;12:30;Blackburn;QPR
E1;12;;;26.02.2022;15:00;Barnsley;Middlesbrough
E1;12;;;26.02.2022;15:00;Birmingham;Huddersfield
E1;12;;;26.02.2022;15:00;Blackpool;Reading
E1;12;;;26.02.2022;15:00;Bournemouth;Stoke
E1;12;;;26.02.2022;15:00;Cardiff;Fulham
E1;12;;;26.02.2022;15:00;Coventry;Preston
E1;12;;;26.02.2022;15:00;Luton;Derby
E1;12;;;26.02.2022;15:00;Millwall;Sheffield United
E1;12;;;26.02.2022;15:00;Nott'm Forest;Bristol City
E1;12;;;26.02.2022;15:00;Peterboro;Hull
E1;12;;;28.02.2022;20:00;West Brom;Swansea
E1;12;;;01.03.2022;19:45;Cardiff;Derby
E1;12;;;04.03.2022;19:45;Huddersfield;Peterboro
E1;12;;;04.03.2022;19:45;Sheffield United;Nott'm Forest
E1;12;;;05.03.2022;12:30;Fulham;Blackburn
E1;12;;;05.03.2022;15:00;Bristol City;Birmingham
E1;12;;;05.03.2022;15:00;Derby;Barnsley
E1;12;;;05.03.2022;15:00;Hull;West Brom
E1;12;;;05.03.2022;15:00;Middlesbrough;Luton
E1;12;;;05.03.2022;15:00;Preston;Bournemouth
E1;12;;;05.03.2022;15:00;QPR;Cardiff
E1;12;;;05.03.2022;15:00;Reading;Millwall
E1;12;;;05.03.2022;15:00;Stoke;Blackpool
E1;12;;;05.03.2022;15:00;Swansea;Coventry
E1;12;;;08.03.2022;19:45;Barnsley;Stoke
E1;12;;;08.03.2022;19:45;Blackburn;Millwall
E1;12;;;08.03.2022;19:45;Bournemouth;Peterboro
E1;12;;;08.03.2022;19:45;Coventry;Luton
E1;12;;;08.03.2022;19:45;Sheffield United;Middlesbrough
E1;12;;;08.03.2022;19:45;Swansea;Fulham
E1;12;;;11.03.2022;20:00;West Brom;Huddersfield
E1;12;;;12.03.2022;12:30;Barnsley;Fulham
E1;12;;;12.03.2022;15:00;Birmingham;Hull
E1;12;;;12.03.2022;15:00;Blackburn;Bristol City
E1;12;;;12.03.2022;15:00;Blackpool;Swansea
E1;12;;;12.03.2022;15:00;Bournemouth;Derby
E1;12;;;12.03.2022;15:00;Cardiff;Preston
E1;12;;;12.03.2022;15:00;Coventry;Sheffield United
E1;12;;;12.03.2022;15:00;Millwall;Middlesbrough
E1;12;;;12.03.2022;15:00;Nott'm Forest;Reading
E1;12;;;12.03.2022;15:00;Peterboro;Stoke
E1;12;;;13.03.2022;12:00;Luton;QPR
E1;12;;;15.03.2022;19:45;Barnsley;Bristol City
E1;12;;;15.03.2022;19:45;Birmingham;Middlesbrough
E1;12;;;15.03.2022;19:45;Blackburn;Derby
E1;12;;;15.03.2022;19:45;Bournemouth;Reading
E1;12;;;15.03.2022;20:00;West Brom;Fulham
E1;12;;;16.03.2022;19:45;Blackpool;Sheffield United
E1;12;;;16.03.2022;19:45;Cardiff;Stoke
E1;12;;;16.03.2022;19:45;Coventry;Hull
E1;12;;;16.03.2022;19:45;Luton;Preston
E1;12;;;16.03.2022;19:45;Millwall;Huddersfield
E1;12;;;16.03.2022;19:45;Nott'm Forest;QPR
E1;12;;;16.03.2022;19:45;Peterboro;Swansea
E1;12;;;19.03.2022;12:30;Derby;Coventry
E1;12;;;19.03.2022;12:30;Sheffield United;Barnsley
E1;12;;;19.03.2022;15:00;Bristol City;West Brom
E1;12;;;19.03.2022;15:00;Huddersfield;Bournemouth
E1;12;;;19.03.2022;15:00;Hull;Luton
E1;12;;;19.03.2022;15:00;Reading;Blackburn
E1;12;;;19.03.2022;15:00;Stoke;Millwall
E1;12;;;19.03.2022;15:00;Swansea;Birmingham
E1;12;;;20.03.2022;12:30;QPR;Peterboro
E1;12;;;01.04.2022;19:45;Hull;Huddersfield
E1;12;;;02.04.2022;12:30;Blackpool;Nott'm Forest
E1;12;;;02.04.2022;15:00;Barnsley;Reading
E1;12;;;02.04.2022;15:00;Bournemouth;Bristol City
E1;12;;;02.04.2022;15:00;Cardiff;Swansea
E1;12;;;02.04.2022;15:00;Coventry;Blackburn
E1;12;;;02.04.2022;15:00;Derby;Preston
E1;12;;;02.04.2022;15:00;Luton;Millwall
E1;12;;;02.04.2022;15:00;Peterboro;Middlesbrough
E1;12;;;02.04.2022;15:00;QPR;Fulham
E1;12;;;02.04.2022;15:00;Stoke;Sheffield United
E1;12;;;03.04.2022;15:00;Birmingham;West Brom
E1;12;;;05.04.2022;19:45;Millwall;Swansea
E1;12;;;05.04.2022;19:45;Peterboro;Luton
E1;12;;;05.04.2022;19:45;Preston;Blackpool
E1;12;;;05.04.2022;19:45;Sheffield United;QPR
E1;12;;;05.04.2022;20:00;Reading;Stoke
E1;12;;;06.04.2022;19:45;Middlesbrough;Fulham
E1;12;;;06.04.2022;19:45;Nott'm Forest;Coventry
E1;12;;;06.04.2022;20:00;West Brom;Bournemouth
E1;12;;;09.04.2022;12:45;Sheffield United;Bournemouth
