Div;Season;Capacity;Spectators;Date;HomeTeam;AwayTeam
E0;1;35345;33404;27.11.2010;West Ham;Wigan
E0;1;32050;27696;27.11.2010;Wolves;Sunderland
E0;1;52338;47718;28.11.2010;Newcastle;Chelsea
E0;1;36284;35704;28.11.2010;Tottenham;Liverpool
E0;1;60704;60025;04.12.2010;Arsenal;Fulham
E0;1;29409;25462;04.12.2010;Birmingham;Tottenham
E0;1;31367;25000;04.12.2010;Blackburn;Wolves
E0;1;42000;41435;04.12.2010;Chelsea;Everton
E0;1;48000;45905;04.12.2010;Man City;Bolton
E0;1;25133;16812;04.12.2010;Wigan;Stoke
E0;1;48707;40011;05.12.2010;Sunderland;West Ham
E0;1;26850;24683;05.12.2010;West Brom;Newcastle
E0;1;45000;42820;06.12.2010;Liverpool;Aston Villa
E0;1;42682;37194;11.12.2010;Aston Villa;West Brom
E0;1;39571;35934;11.12.2010;Everton;Wigan
E0;1;25800;25043;11.12.2010;Fulham;Sunderland
E0;1;52338;47718;11.12.2010;Newcastle;Liverpool
E0;1;30089;26858;11.12.2010;Stoke;Blackpool
E0;1;35345;33404;11.12.2010;West Ham;Man City
E0;1;28723;22870;12.12.2010;Bolton;Blackburn
E0;1;36284;35704;12.12.2010;Tottenham;Chelsea
E0;1;32050;27696;12.12.2010;Wolves;Birmingham
E0;1;75800;75109;13.12.2010;Man United;Arsenal
E0;1;31367;25000;18.12.2010;Blackburn;West Ham
E0;1;48707;40011;18.12.2010;Sunderland;Bolton
E0;1;48000;45905;20.12.2010;Man City;Everton
E0;1;42682;37194;26.12.2010;Aston Villa;Tottenham
E0;1;31367;25000;26.12.2010;Blackburn;Stoke
E0;1;28723;22870;26.12.2010;Bolton;West Brom
E0;1;25800;25043;26.12.2010;Fulham;West Ham
E0;1;75800;75109;26.12.2010;Man United;Sunderland
E0;1;52338;47718;26.12.2010;Newcastle;Man City
E0;1;32050;27696;26.12.2010;Wolves;Wigan
E0;1;60704;60025;27.12.2010;Arsenal;Chelsea
