Div;Season;Capacity;Spectators;Date;HomeTeam;AwayTeam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;48000;47045;19.11.2011;Man City;Newcastle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;27244;26606;19.11.2011;Norwich;Arsenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;30089;27226;19.11.2011;Stoke;QPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;48707;39095;19.11.2011;Sunderland;Fulham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;21088;19946;19.11.2011;Swansea;Man United;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;26850;24798;19.11.2011;West Brom;Bolton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;25133;18634;19.11.2011;Wigan;Blackburn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;42000;41478;20.11.2011;Chelsea;Liverpool;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;36284;36026;21.11.2011;Tottenham;Aston Villa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;60704;60000;26.11.2011;Arsenal;Fulham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;28723;23670;26.11.2011;Bolton;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;42000;41478;26.11.2011;Chelsea;Wolves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;75800;75387;26.11.2011;Man United;Newcastle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;27244;26606;26.11.2011;Norwich;QPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;30089;27226;26.11.2011;Stoke;Blackburn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;48707;39095;26.11.2011;Sunderland;Wigan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;26850;24798;26.11.2011;West Brom;Tottenham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;45000;44253;27.11.2011;Liverpool;Man City;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;21088;19946;27.11.2011;Swansea;Aston Villa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;42682;33873;03.12.2011;Aston Villa;Man United;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;31367;22551;03.12.2011;Blackburn;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;48000;47045;03.12.2011;Man City;Norwich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;52338;49936;03.12.2011;Newcastle;Chelsea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;18360;17295;03.12.2011;QPR;West Brom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;36284;36026;03.12.2011;Tottenham;Bolton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;25133;18634;03.12.2011;Wigan;Arsenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;39571;33228;04.12.2011;Everton;Stoke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;32050;25682;04.12.2011;Wolves;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;25800;25293;05.12.2011;Fulham;Liverpool;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;60704;60000;10.12.2011;Arsenal;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;28723;23670;10.12.2011;Bolton;Aston Villa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;45000;44253;10.12.2011;Liverpool;QPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
